Date,Open,High,Low,Close,Adj Close,Volume
1997-07-01,6.200000,6.400000,6.200000,6.375000,1.560339,1203000
1997-07-02,6.350000,6.625000,6.325000,6.500000,1.590933,2269000
1997-07-03,6.500000,6.525000,6.275000,6.400000,1.566457,1131000
1997-07-04,6.450000,6.550000,6.325000,6.500000,1.590933,2686000
1997-07-07,6.650000,6.700000,6.475000,6.500000,1.590933,2120000
1997-07-08,6.475000,6.600000,6.450000,6.600000,1.615409,1586000
1997-07-09,6.600000,7.250000,6.575000,7.250000,1.774502,6714000
1997-07-10,7.600000,7.600000,7.075000,7.075000,1.731670,2578000
1997-07-11,6.950000,7.225000,6.925000,7.075000,1.731670,1525000
1997-07-14,6.725000,7.000000,6.725000,6.900000,1.688837,529000
1997-07-15,6.850000,7.000000,6.850000,6.975000,1.707193,925000
1997-07-16,7.025000,7.100000,6.925000,7.050000,1.725551,478000
1997-07-17,7.075000,7.100000,7.000000,7.100000,1.737789,776000
1997-07-18,7.100000,7.100000,6.875000,7.100000,1.737789,1158000
1997-07-21,7.000000,7.050000,6.925000,7.025000,1.719432,786000
1997-07-22,7.050000,7.300000,7.025000,7.300000,1.786741,1584000
1997-07-23,7.400000,7.425000,7.250000,7.400000,1.811217,1100000
1997-07-24,7.400000,7.425000,7.350000,7.400000,1.811217,1456000
1997-07-25,7.300000,7.450000,7.300000,7.450000,1.823454,1155000
1997-07-28,7.475000,7.550000,7.375000,7.400000,1.811217,897000
1997-07-29,7.400000,7.400000,7.300000,7.350000,1.798978,313000
1997-07-30,7.350000,7.400000,7.350000,7.400000,1.811217,815000
1997-07-31,7.400000,7.425000,7.375000,7.400000,1.811217,357000
1997-08-01,7.425000,7.475000,7.400000,7.400000,1.811217,834000
1997-08-04,7.500000,7.575000,7.425000,7.525000,1.841811,1118000
1997-08-05,7.600000,7.650000,7.425000,7.550000,1.847930,1142000
1997-08-06,7.575000,7.625000,7.450000,7.500000,1.835693,1045000
1997-08-07,7.500000,7.525000,7.450000,7.500000,1.835693,1435000
1997-08-08,7.400000,7.500000,7.325000,7.400000,1.811217,992000
1997-08-11,7.450000,7.450000,7.350000,7.375000,1.805098,187000
1997-08-12,7.400000,7.400000,7.150000,7.200000,1.762265,364000
1997-08-13,7.125000,7.225000,7.050000,7.200000,1.762265,565000
1997-08-14,7.200000,7.250000,7.150000,7.200000,1.762265,1067000
1997-08-15,null,null,null,null,null,null
1997-08-18,null,null,null,null,null,null
1997-08-19,7.100000,7.125000,7.025000,7.100000,1.737789,375000
1997-08-20,7.000000,7.050000,6.850000,6.950000,1.701075,221000
1997-08-21,7.000000,7.100000,6.850000,7.075000,1.731670,310000
1997-08-22,6.900000,7.050000,6.550000,6.675000,1.633766,422000
1997-08-25,null,null,null,null,null,null
1997-08-26,6.650000,6.650000,6.475000,6.525000,1.597052,367000
1997-08-27,6.650000,6.650000,6.500000,6.550000,1.603172,260000
1997-08-28,6.575000,6.675000,6.500000,6.650000,1.627647,260000
1997-08-29,6.650000,7.000000,6.550000,6.775000,1.658242,1130000
1997-09-01,6.950000,6.975000,6.700000,6.800000,1.664361,201000
1997-09-02,6.800000,6.900000,6.675000,6.800000,1.664361,182000
1997-09-03,6.750000,6.925000,6.750000,6.800000,1.664361,164000
1997-09-04,6.800000,6.850000,6.700000,6.775000,1.658242,123000
1997-09-05,6.850000,7.125000,6.800000,7.125000,1.743908,556000
1997-09-08,7.000000,7.200000,6.975000,7.125000,1.743908,576000
1997-09-09,7.000000,7.100000,6.825000,6.850000,1.676599,255000
1997-09-10,6.850000,6.975000,6.800000,6.925000,1.694956,137000
1997-09-11,6.925000,7.000000,6.850000,6.875000,1.682718,278000
1997-09-12,6.875000,6.925000,6.750000,6.825000,1.670480,355000
1997-09-15,6.800000,6.900000,6.775000,6.850000,1.676599,166000
1997-09-16,6.900000,6.900000,6.850000,6.875000,1.682718,140000
1997-09-17,6.875000,6.900000,6.725000,6.775000,1.658242,237000
1997-09-18,6.750000,6.850000,6.700000,6.800000,1.664361,324000
1997-09-19,6.800000,6.875000,6.725000,6.800000,1.664361,357000
1997-09-22,6.800000,6.850000,6.725000,6.800000,1.664361,287000
1997-09-23,6.750000,6.825000,6.725000,6.775000,1.658242,280000
1997-09-24,6.750000,6.850000,6.750000,6.775000,1.658242,135000
1997-09-25,6.800000,6.800000,6.700000,6.700000,1.639886,189000
1997-09-26,6.725000,6.875000,6.725000,6.825000,1.670480,542000
1997-09-29,6.900000,7.375000,6.900000,7.350000,1.798978,1033000
1997-09-30,7.225000,7.325000,6.925000,6.950000,1.701075,900000
1997-10-01,6.925000,7.200000,6.850000,7.175000,1.756146,953000
1997-10-02,null,null,null,null,null,null
1997-10-03,7.125000,7.125000,6.800000,6.825000,1.670480,242000
1997-10-06,6.800000,7.000000,6.800000,6.825000,1.670480,204000
1997-10-07,6.850000,6.950000,6.825000,6.925000,1.694956,532000
1997-10-08,6.900000,7.025000,6.875000,7.000000,1.713313,446000
1997-10-09,7.050000,7.300000,7.000000,7.300000,1.786741,1010000
1997-10-10,7.350000,7.400000,7.175000,7.200000,1.762265,379000
1997-10-13,7.200000,7.300000,7.150000,7.200000,1.762265,677000
1997-10-14,7.100000,7.175000,7.050000,7.100000,1.737789,296000
1997-10-15,7.075000,7.200000,7.075000,7.125000,1.743908,209000
1997-10-16,7.200000,7.675000,7.175000,7.625000,1.866287,3008000
1997-10-17,7.700000,7.850000,7.500000,7.725000,1.890763,2337000
1997-10-20,8.000000,8.475000,7.925000,8.475000,2.074332,2280000
1997-10-21,8.700000,8.800000,8.250000,8.550000,2.092689,3955000
1997-10-22,8.475000,8.500000,8.300000,8.350000,2.043738,1322000
1997-10-23,8.300000,8.300000,7.975000,8.100000,1.982548,1469000
1997-10-24,7.925000,8.375000,7.875000,8.125000,1.988667,1642000
1997-10-27,8.200000,8.200000,8.050000,8.100000,1.982548,319000
1997-10-28,null,null,null,null,null,null
1997-10-29,null,null,null,null,null,null
1997-10-30,8.000000,8.225000,8.000000,8.125000,1.988667,351000
1997-10-31,null,null,null,null,null,null
1997-11-03,8.125000,8.175000,7.975000,8.075000,1.976429,301000
1997-11-04,8.075000,8.100000,7.825000,7.850000,1.921358,792000
1997-11-05,7.850000,7.850000,7.700000,7.750000,1.896882,705000
1997-11-06,7.625000,7.825000,7.600000,7.750000,1.896882,443000
1997-11-07,7.750000,7.800000,7.650000,7.675000,1.878525,452000
1997-11-10,7.600000,7.625000,7.500000,7.575000,1.854049,372000
1997-11-11,7.600000,7.600000,7.525000,7.575000,1.854049,275000
1997-11-12,7.550000,7.575000,7.475000,7.500000,1.835693,268000
1997-11-13,7.400000,7.450000,7.250000,7.275000,1.780622,781000
1997-11-14,7.350000,7.350000,7.150000,7.225000,1.768384,836000
1997-11-17,7.225000,7.225000,7.125000,7.200000,1.762265,1317000
1997-11-18,7.150000,7.175000,7.075000,7.100000,1.737789,283000
1997-11-19,7.000000,7.050000,6.725000,7.025000,1.719432,439000
1997-11-20,6.900000,7.100000,6.875000,7.025000,1.719432,301000
1997-11-21,7.000000,7.200000,6.975000,7.175000,1.756146,333000
1997-11-24,7.025000,7.100000,6.950000,6.950000,1.701075,271000
1997-11-25,7.000000,7.150000,6.925000,7.125000,1.743908,214000
1997-11-26,7.175000,7.250000,7.150000,7.175000,1.756146,166000
1997-11-27,7.150000,7.275000,7.125000,7.275000,1.780622,205000
1997-11-28,7.200000,7.200000,7.000000,7.150000,1.750027,196000
1997-12-01,7.000000,7.100000,6.950000,7.050000,1.725551,157000
1997-12-02,7.025000,7.075000,7.000000,7.025000,1.719432,179000
1997-12-03,7.000000,7.150000,7.000000,7.075000,1.731670,3320000
1997-12-04,7.000000,7.025000,6.950000,7.000000,1.713313,236000
1997-12-05,7.050000,7.100000,6.975000,7.075000,1.731670,233000
1997-12-08,7.075000,7.475000,7.075000,7.275000,1.780622,546000
1997-12-09,7.400000,7.400000,7.100000,7.125000,1.743908,304000
1997-12-10,7.050000,7.150000,7.000000,7.125000,1.743908,293000
1997-12-11,7.050000,7.125000,6.950000,7.075000,1.731670,380000
1997-12-12,7.100000,7.125000,6.975000,6.975000,1.707193,310000
1997-12-15,7.000000,7.125000,7.000000,7.100000,1.737789,165000
1997-12-16,7.125000,7.200000,7.075000,7.100000,1.737789,166000
1997-12-17,7.200000,7.275000,7.175000,7.250000,1.774502,237000
1997-12-18,7.300000,7.750000,7.300000,7.575000,1.854049,897000
1997-12-19,7.500000,7.650000,7.500000,7.625000,1.866287,359000
1997-12-22,7.750000,7.925000,7.750000,7.825000,1.915239,500000
1997-12-23,7.850000,7.950000,7.800000,7.925000,1.939715,372000
1997-12-24,7.700000,7.825000,7.600000,7.800000,1.909120,1387000
1997-12-25,null,null,null,null,null,null
1997-12-26,7.875000,8.000000,7.775000,7.800000,1.909120,289000
1997-12-29,7.850000,8.025000,7.850000,7.950000,1.945834,226000
1997-12-30,7.925000,8.000000,7.800000,7.825000,1.915239,327000
1997-12-31,7.850000,8.000000,7.775000,7.800000,1.909120,263000
1998-01-01,9.500000,10.050000,9.400000,9.600000,2.349687,810500
1998-01-02,8.075000,8.100000,8.000000,8.075000,1.976429,326000
1998-01-05,8.175000,8.200000,8.025000,8.075000,1.976429,343000
1998-01-06,8.000000,8.050000,7.850000,7.875000,1.927477,372000
1998-01-07,7.875000,7.950000,7.700000,7.800000,1.909120,282000
1998-01-08,7.725000,7.725000,7.600000,7.700000,1.884645,510000
1998-01-09,7.550000,7.600000,7.350000,7.550000,1.847930,1489000
1998-01-12,7.250000,7.275000,7.000000,7.100000,1.737789,795000
1998-01-13,7.200000,7.275000,7.150000,7.250000,1.774502,426000
1998-01-14,7.300000,7.425000,7.200000,7.300000,1.786741,277000
1998-01-15,7.300000,7.350000,7.175000,7.250000,1.774502,203000
1998-01-16,7.300000,7.950000,7.250000,7.950000,1.945834,3229000
1998-01-19,7.975000,7.975000,7.700000,7.900000,1.933596,902000
1998-01-20,7.925000,7.925000,7.625000,7.875000,1.927477,3122000
1998-01-21,7.800000,8.400000,7.725000,7.950000,1.945834,3442000
1998-01-22,7.975000,8.000000,7.850000,7.900000,1.933596,595000
1998-01-23,7.850000,7.900000,7.750000,7.750000,1.896882,435000
1998-01-26,null,null,null,null,null,null
1998-01-27,7.775000,7.800000,7.525000,7.525000,1.841811,355000
1998-01-28,7.500000,7.600000,7.250000,7.300000,1.786741,369000
1998-01-29,7.250000,7.300000,7.100000,7.125000,1.743908,579000
1998-01-30,null,null,null,null,null,null
1998-02-02,7.375000,7.375000,7.125000,7.175000,1.756146,839000
1998-02-03,7.200000,7.225000,6.825000,7.000000,1.713313,5979000
1998-02-04,7.000000,7.025000,6.825000,6.850000,1.676599,1463000
1998-02-05,6.900000,6.950000,6.550000,6.550000,1.603172,1032000
1998-02-06,6.650000,6.875000,6.600000,6.675000,1.633766,1463000
1998-02-09,6.800000,6.875000,6.725000,6.735000,1.648452,402000
1998-02-10,6.625000,6.640000,6.210000,6.305000,1.543205,1631000
1998-02-11,6.370000,6.590000,6.150000,6.270000,1.534639,1156000
1998-02-12,6.220000,6.330000,6.200000,6.300000,1.541982,207000
1998-02-13,6.300000,6.360000,6.220000,6.275000,1.535863,754000
1998-02-16,6.500000,6.595000,6.455000,6.500000,1.590933,979000
1998-02-17,6.550000,6.580000,6.325000,6.360000,1.556667,2244000
1998-02-18,6.350000,6.520000,6.230000,6.500000,1.590933,1071000
1998-02-19,6.500000,6.640000,6.470000,6.505000,1.592158,1109000
1998-02-20,6.510000,6.575000,6.400000,6.455000,1.579919,1080000
1998-02-23,6.700000,6.860000,6.520000,6.850000,1.676599,1812000
1998-02-24,6.780000,6.890000,6.780000,6.875000,1.682718,1541000
1998-02-25,null,null,null,null,null,null
1998-02-26,6.900000,7.200000,6.900000,7.050000,1.725551,1274000
1998-02-27,7.095000,7.165000,7.000000,7.060000,1.727998,875000
1998-03-02,7.500000,7.525000,7.150000,7.325000,1.792860,1913000
1998-03-03,7.250000,7.250000,6.810000,6.935000,1.697404,1110000
1998-03-04,7.000000,7.300000,6.985000,7.225000,1.768384,1068050
1998-03-05,7.300000,7.300000,7.170000,7.220000,1.767160,1053000
1998-03-06,7.260000,7.260000,7.060000,7.155000,1.751251,3907000
1998-03-09,7.350000,7.360000,7.220000,7.295000,1.785517,515000
1998-03-10,7.325000,7.325000,7.200000,7.245000,1.773279,601000
1998-03-11,7.245000,7.250000,7.050000,7.145000,1.748803,462000
1998-03-12,7.000000,7.100000,7.000000,7.025000,1.719432,408000
1998-03-13,null,null,null,null,null,null
1998-03-16,7.250000,7.370000,7.100000,7.115000,1.741460,402000
1998-03-17,7.125000,7.125000,6.970000,7.030000,1.720656,580000
1998-03-18,7.060000,7.130000,7.000000,7.015000,1.716985,487000
1998-03-19,7.110000,7.200000,7.020000,7.055000,1.726774,340000
1998-03-20,7.035000,7.475000,7.000000,7.320000,1.791636,3361000
1998-03-23,7.500000,7.800000,7.420000,7.705000,1.885868,1199000
